trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.3, 'e': 0.07243975703425146}",25,20,8.39395658724629,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.07136126955638608}",20,8,22.15919760367225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.07029883866522847}",30,20,5.3330495913696385,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.069252225309346}",20,0,-12.312742946315142,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
179,False,"{'a': 0.3, 'e': 0.06822119399631812}",25,2,36.18508109282037,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.06720551273974978}",35,24,9.018566886177014,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.06620495300707324}",20,13,11.641772067711031,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.06521928966812753}",30,19,18.783192504613858,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.06424830094450308}",20,12,-4.803865924320381,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.3, 'e': 0.06329176835964073}",25,18,11.05122049088687,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.06234947668967343}",25,7,7.557743365492415,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
186,False,"{'a': 0.3, 'e': 0.06142121391500013}",30,14,25.652667283974907,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.3, 'e': 0.060506771172580416}",20,9,12.014430490478155,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.05960594270893937}",20,11,1.0849832702640347,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.058718525833872284}",20,15,9.326026289976829,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.057844320874838456}",25,19,11.511209704835775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.05698313113203406}",20,16,8.430588257291424,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.3, 'e': 0.056134762834133725}",25,15,17.70836207461844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.3, 'e': 0.05529902509469138}",35,21,30.592884448312915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.3, 'e': 0.05447572986918988}",25,16,12.15201551525427,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.3, 'e': 0.053664691912730135}",25,11,27.506051313029506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.3, 'e': 0.05286572873835037}",30,20,23.875049623231313,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.3, 'e': 0.05207866057596569}",25,2,28.731463310535215,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.3, 'e': 0.051303310331919136}",25,6,-10.823070476349336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
199,False,"{'a': 0.3, 'e': 0.050539503549134696}",30,17,23.148267756390943,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.3, 'e': 0.049787068367863944}",30,18,23.26117507266552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,11,36.40861518882488,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,17.295379394316548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,10,30.952117407426655,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,15.310776992352121,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,17,22.717397878808075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,25.458667871134097,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,15,19.650800807040554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,16,7.509128555017645,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,12.917886563629608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,22.841215346785454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,19,10.04899881384424,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,18,23.910896598352647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,14,22.16547815803293,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,11,27.706804897470505,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,15,16.24642586914796,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,7,31.887886979786927,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,3,29.50275778373826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,16,29.26420301556631,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,11,25.552403508660728,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,13,14.627913864231942,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
