trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.5325918010068972}",25,6,-29.270529064783293,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.5246625421065929}",20,2,-110.59238137029598,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
44,False,"{'a': 0.3, 'e': 0.5168513344916993}",25,0,-64.85786439155935,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
45,False,"{'a': 0.3, 'e': 0.5091564206075492}",30,20,15.92460445272433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.5015760690660556}",20,12,-6.43916694356337,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.4941085742561417}",35,0,-39.35391248583908,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.3, 'e': 0.4867522559599717}",20,0,-11.001937313503749,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.3, 'e': 0.4795054589748941}",25,20,9.301793817323277,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.4723665527410147}",25,17,5.740562234915366,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.3, 'e': 0.4653339309743134}",20,8,-85.66344807520122,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
52,False,"{'a': 0.3, 'e': 0.4584060113052235}",25,0,-66.90185690990353,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.4515812349225923}",30,8,-49.96452425937418,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.3, 'e': 0.44485806622294116}",25,0,-64.85831814110445,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.3, 'e': 0.43823499246494924}",30,12,-54.1907251014928,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.3, 'e': 0.43171052342907973}",30,21,-4.167806988130377,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.42528319108227414}",30,0,-85.04889916624029,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
58,False,"{'a': 0.3, 'e': 0.418951549247639}",35,18,-15.998950216822545,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.4127141732790497}",20,7,-24.57027425786411,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.40656965974059917}",30,14,-15.446810931379794,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.3, 'e': 0.40051662609081884}",20,3,-36.67592313071301,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.39455371037160114}",20,8,-4.41127833552165,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
